Vgamma_G_capacity,Vgamma_R_capacity,Vgamma_G_realized,Vgamma_R_realized,rho_capacity,rho_realized,margin,verdict_capacity,verdict_realized,u_G,u_R,organism
0.46,0.12739999999999999,0.44266012024048096,0.12739999999999999,0.2769565217391304,0.2878054610629669,-0.315260120240481,glycolysis,glycolysis,0.9623046092184369,1.0,ecoli
0.46,0.12739999999999999,0.44174749498997995,0.12739999999999999,0.2769565217391304,0.28840005080931985,-0.31434749498997994,glycolysis,glycolysis,0.9603206412825651,1.0,ecoli
0.46,0.12739999999999999,0.440834869739479,0.12739999999999999,0.2769565217391304,0.28899710241907545,-0.313434869739479,glycolysis,glycolysis,0.9583366733466934,1.0,ecoli
0.46,0.12739999999999999,0.439922244488978,0.12739999999999999,0.2769565217391304,0.2895966312137506,-0.31252224448897803,glycolysis,glycolysis,0.9563527054108216,1.0,ecoli
0.46,0.12739999999999999,0.439009619238477,0.12739999999999999,0.2769565217391304,0.2901986526422654,-0.31160961923847696,glycolysis,glycolysis,0.9543687374749499,1.0,ecoli
0.46,0.12739999999999999,0.43809699398797597,0.12739999999999999,0.2769565217391304,0.29080318228227015,-0.310696993987976,glycolysis,glycolysis,0.9523847695390781,1.0,ecoli
0.46,0.12739999999999999,0.43718436873747496,0.12739999999999999,0.2769565217391304,0.2914102358414888,-0.30978436873747495,glycolysis,glycolysis,0.9504008016032064,1.0,ecoli
0.46,0.12739999999999999,0.43627174348697395,0.12739999999999999,0.2769565217391304,0.2920198291590797,-0.308871743486974,glycolysis,glycolysis,0.9484168336673346,1.0,ecoli
0.46,0.12739999999999999,0.43535911823647294,0.12739999999999999,0.2769565217391304,0.2926319782070131,-0.30795911823647293,glycolysis,glycolysis,0.9464328657314629,1.0,ecoli
0.46,0.12739999999999999,0.43444649298597193,0.12739999999999999,0.2769565217391304,0.29324669909146595,-0.307046492985972,glycolysis,glycolysis,0.9444488977955912,1.0,ecoli
0.46,0.12739999999999999,0.4335338677354709,0.12739999999999999,0.2769565217391304,0.2938640080542348,-0.3061338677354709,glycolysis,glycolysis,0.9424649298597194,1.0,ecoli
0.46,0.12739999999999999,0.43262124248496997,0.12739999999999999,0.2769565217391304,0.2944839214741659,-0.30522124248496996,glycolysis,glycolysis,0.9404809619238477,1.0,ecoli
0.46,0.12739999999999999,0.43170861723446896,0.12739999999999999,0.2769565217391304,0.2951064558686043,-0.304308617234469,glycolysis,glycolysis,0.9384969939879759,1.0,ecoli
0.46,0.12739999999999999,0.43079599198396795,0.12739999999999999,0.2769565217391304,0.2957316278948602,-0.30339599198396794,glycolysis,glycolysis,0.9365130260521042,1.0,ecoli
0.46,0.12739999999999999,0.42988336673346694,0.12739999999999999,0.2769565217391304,0.2963594543516953,-0.302483366733467,glycolysis,glycolysis,0.9345290581162324,1.0,ecoli
0.46,0.12739999999999999,0.42897074148296593,0.12739999999999999,0.2769565217391304,0.2969899521808271,-0.3015707414829659,glycolysis,glycolysis,0.9325450901803607,1.0,ecoli
0.46,0.12739999999999999,0.4280581162324649,0.12739999999999999,0.2769565217391304,0.29762313846845284,-0.30065811623246497,glycolysis,glycolysis,0.930561122244489,1.0,ecoli
0.46,0.12739999999999999,0.4271454909819639,0.12739999999999999,0.2769565217391304,0.29825903044679314,-0.2997454909819639,glycolysis,glycolysis,0.9285771543086172,1.0,ecoli
0.46,0.12739999999999999,0.4262328657314629,0.12739999999999999,0.2769565217391304,0.2988976454956552,-0.29883286573146295,glycolysis,glycolysis,0.9265931863727455,1.0,ecoli
0.46,0.12739999999999999,0.42532024048096195,0.12739999999999999,0.2769565217391304,0.29953900114401594,-0.297920240480962,glycolysis,glycolysis,0.9246092184368737,1.0,ecoli
0.46,0.12739999999999999,0.42440761523046094,0.12739999999999999,0.2769565217391304,0.30018311507162637,-0.29700761523046093,glycolysis,glycolysis,0.922625250501002,1.0,ecoli
0.46,0.12739999999999999,0.42349498997995993,0.12739999999999999,0.2769565217391304,0.30083000511063573,-0.29609498997996,glycolysis,glycolysis,0.9206412825651302,1.0,ecoli
0.46,0.12739999999999999,0.4225823647294589,0.12739999999999999,0.2769565217391304,0.30147968924723734,-0.2951823647294589,glycolysis,glycolysis,0.9186573146292585,1.0,ecoli
0.46,0.12739999999999999,0.4216697394789579,0.12739999999999999,0.2769565217391304,0.3021321856233354,-0.29426973947895796,glycolysis,glycolysis,0.9166733466933867,1.0,ecoli
0.46,0.12739999999999999,0.4207571142284569,0.12739999999999999,0.2769565217391304,0.3027875125382338,-0.2933571142284569,glycolysis,glycolysis,0.914689378757515,1.0,ecoli
0.46,0.12739999999999999,0.4198444889779559,0.12739999999999999,0.2769565217391304,0.3034456884503471,-0.29244448897795594,glycolysis,glycolysis,0.9127054108216432,1.0,ecoli
0.46,0.12739999999999999,0.4189318637274549,0.12739999999999999,0.2769565217391304,0.30410673197893295,-0.2915318637274549,glycolysis,glycolysis,0.9107214428857715,1.0,ecoli
0.46,0.12739999999999999,0.4180192384769539,0.12739999999999999,0.2769565217391304,0.30477066190584856,-0.2906192384769539,glycolysis,glycolysis,0.9087374749498998,1.0,ecoli
0.46,0.12739999999999999,0.4171066132264529,0.12739999999999999,0.2769565217391304,0.30543749717732904,-0.28970661322645297,glycolysis,glycolysis,0.906753507014028,1.0,ecoli
0.46,0.12739999999999999,0.4161939879759519,0.12739999999999999,0.2769565217391304,0.30610725690579,-0.2887939879759519,glycolysis,glycolysis,0.9047695390781563,1.0,ecoli
