organism,reattribution_factor,V_glyc_effective,V_resp_effective,flip_uG,rho,baseline_rho,delta_rho_from_baseline,delta_flip_from_baseline,attribution_sensitivity
yeast,0.736734693877551,0.33889795918367344,0.010737755102040818,0.41076152304609215,0.41189630254125026,0.24021739130434785,0.1716789112369024,0.1706212424849699,0.1706212424849699
yeast,0.7489795918367347,0.34453061224489795,0.010633673469387758,0.4008416833667334,0.4012350432413222,0.24021739130434785,0.16101765193697434,0.16070140280561118,0.16070140280561118
yeast,0.7612244897959183,0.3501632653061224,0.010529591836734695,0.38893787575150296,0.390916773516727,0.24021739130434785,0.15069938221237913,0.14879759519038072,0.14879759519038072
yeast,0.773469387755102,0.3557959183673469,0.010425510204081634,0.37901803607214424,0.3809252036251005,0.24021739130434785,0.14070781232075266,0.138877755511022,0.138877755511022
yeast,0.7857142857142857,0.36142857142857143,0.010321428571428573,0.37108216432865726,0.3712450592885376,0.24021739130434785,0.13102766798418977,0.13094188376753502,0.13094188376753502
yeast,0.7979591836734694,0.36706122448979595,0.01021734693877551,0.36116232464929865,0.36186200378071837,0.24021739130434785,0.12164461247637051,0.1210220440881764,0.1210220440881764
yeast,0.810204081632653,0.3726938775510204,0.01011326530612245,0.3512424849699399,0.35276256707918086,0.24021739130434785,0.112545175774833,0.11110220440881768,0.11110220440881768
yeast,0.8224489795918367,0.3783265306122449,0.01000918367346939,0.34330661322645295,0.3439340813464236,0.24021739130434785,0.10371669004207576,0.1031663326653307,0.1031663326653307
yeast,0.8346938775510204,0.38395918367346943,0.009905102040816327,0.33338677354709423,0.33536462208993295,0.24021739130434785,0.0951472307855851,0.09324649298597198,0.09324649298597198
yeast,0.846938775510204,0.3895918367346939,0.009801020408163266,0.32545090180360725,0.3270429544264013,0.24021739130434785,0.08682556312205345,0.08531062124248501,0.08531062124248501
yeast,0.8591836734693877,0.3952244897959184,0.009696938775510205,0.3175150300601203,0.31895848394092735,0.24021739130434785,0.0787410926365795,0.07737474949899803,0.07737474949899803
yeast,0.8714285714285714,0.40085714285714286,0.009592857142857144,0.3095791583166333,0.3111012116892374,0.24021739130434785,0.07088382038488952,0.06943887775551105,0.06943887775551105
yeast,0.883673469387755,0.4064897959183673,0.009488775510204083,0.3016432865731463,0.3034616929410584,0.24021739130434785,0.06324430163671055,0.061503006012024075,0.061503006012024075
