model,g_avail,J_ATP,J_ATP_glyc,J_ATP_resp,frac_glyc,phi_G,phi_R,phenotype,eps_ratio,organism
Model A (Shen LP),0.04150072240802676,0.0925616182714779,0.08220476369476816,0.010356854576709734,0.8881085403419193,0.17870600803210468,0.0812939919678943,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.04200071906354516,0.09330039609300361,0.08322652496326421,0.010073871129739398,0.8920275631016875,0.18092722818100915,0.07907277181899057,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.04250071571906355,0.09403917391452932,0.08424828623176026,0.009790887682769062,0.8958850096698229,0.1831484483299136,0.07685155167008682,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.043000712374581945,0.09477795173605486,0.08527004750025631,0.009507904235798545,0.899682319973775,0.18536966847881806,0.07463033152118168,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.043500709030100344,0.09551672955758041,0.08629180876875238,0.009224920788828028,0.9034208893922927,0.18759088862772255,0.07240911137227651,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.044000705685618736,0.09625550737910611,0.08731357003724842,0.008941937341857692,0.9071020704650227,0.189812108776627,0.07018789122337278,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.04450070234113713,0.09699428520063165,0.08833533130574447,0.008658953894887175,0.9107271745239812,0.19203332892553146,0.06796667107446763,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.04500069899665553,0.0977330630221572,0.08935709257424054,0.008375970447916659,0.9142974732510151,0.19425454907443596,0.06574545092556247,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.04550069565217392,0.0984718408436829,0.09037885384273658,0.008092987000946322,0.9178142001651683,0.1964757692233404,0.06352423077665874,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.04600069230769231,0.09921061866520861,0.09140061511123262,0.007810003553975986,0.9212785520435948,0.19869698937224484,0.06130301062775499,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.04650068896321071,0.09994939648673416,0.0924223763797287,0.007527020107005469,0.9246916902794456,0.20091820952114933,0.05908179047884984,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.0470006856187291,0.10068817430825987,0.09344413764822473,0.007244036660035133,0.9280547421799774,0.20313942967005377,0.056860570329946104,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.0475006822742475,0.10142695212978542,0.0944658989167208,0.006961053213064616,0.9313688022079448,0.20536064981895827,0.05463935018104095,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.048000678929765894,0.10216572995131096,0.09548766018521686,0.0066780697660941,0.9346349331691101,0.20758186996786274,0.052418130032135794,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.048500675585284286,0.10290450777283666,0.0965094214537129,0.006395086319123763,0.9378541673486159,0.20980309011676715,0.050196909883232055,mixed,0.2769565217391304,ecoli
