organism,membrane_frac,effective_Phi,flip_uG,Vgamma_R_cap,Vgamma_G_cap
yeast,0.22448979591836732,0.15510204081632653,0.24014028056112224,0.22100000000000003,0.92
yeast,0.2346938775510204,0.15306122448979595,0.24014028056112224,0.22100000000000003,0.92
yeast,0.24489795918367346,0.1510204081632653,0.24014028056112224,0.22100000000000003,0.92
yeast,0.25510204081632654,0.1489795918367347,0.24014028056112224,0.22100000000000003,0.92
yeast,0.26530612244897955,0.1469387755102041,0.24014028056112224,0.22100000000000003,0.92
yeast,0.2755102040816326,0.14489795918367349,0.24014028056112224,0.22100000000000003,0.92
yeast,0.2857142857142857,0.14285714285714288,0.24014028056112224,0.22100000000000003,0.92
yeast,0.29591836734693877,0.14081632653061224,0.24014028056112224,0.22100000000000003,0.92
yeast,0.3061224489795918,0.13877551020408166,0.24014028056112224,0.22100000000000003,0.92
yeast,0.31632653061224486,0.13673469387755102,0.24014028056112224,0.22100000000000003,0.92
yeast,0.32653061224489793,0.13469387755102044,0.24014028056112224,0.22100000000000003,0.92
yeast,0.336734693877551,0.1326530612244898,0.24014028056112224,0.22100000000000003,0.92
yeast,0.3469387755102041,0.1306122448979592,0.24014028056112224,0.22100000000000003,0.92
yeast,0.3571428571428571,0.1285714285714286,0.24014028056112224,0.22100000000000003,0.92
yeast,0.36734693877551017,0.12653061224489798,0.24014028056112224,0.22100000000000003,0.92
yeast,0.37755102040816324,0.12448979591836735,0.24014028056112224,0.22100000000000003,0.92
yeast,0.3877551020408163,0.12244897959183675,0.24014028056112224,0.22100000000000003,0.92
yeast,0.39795918367346933,0.12040816326530615,0.24014028056112224,0.22100000000000003,0.92
yeast,0.4081632653061224,0.11836734693877551,0.24014028056112224,0.22100000000000003,0.92
yeast,0.4183673469387755,0.11632653061224492,0.24014028056112224,0.22100000000000003,0.92
yeast,0.42857142857142855,0.11428571428571428,0.24014028056112224,0.22100000000000003,0.92
yeast,0.4387755102040816,0.11224489795918369,0.24014028056112224,0.22100000000000003,0.92
yeast,0.44897959183673464,0.11020408163265308,0.24014028056112224,0.22100000000000003,0.92
yeast,0.4591836734693877,0.10816326530612247,0.24014028056112224,0.22100000000000003,0.92
yeast,0.4693877551020408,0.10612244897959185,0.24014028056112224,0.22100000000000003,0.92
