organism,u_G,g_avail,frac_glyc,phenotype,J_ATP
ecoli,0.08607594936708861,0.10219018987341774,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.10408258227848102,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.10597497468354432,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.10786736708860761,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.10975975949367091,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.11165215189873419,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.11354454430379748,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.11543693670886078,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.11732932911392407,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.11922172151898736,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.12111411392405065,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.12300650632911395,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.12489889873417723,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.12679129113924054,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.12868368354430382,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.1305760759493671,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.1324684683544304,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.1343608607594937,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.13625325316455697,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.13814564556962028,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.14003803797468356,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.14193043037974687,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.14382282278481015,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.14571521518987343,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.14760760759493674,0.0,respiration,0.033124
ecoli,0.08607594936708861,0.14950000000000002,0.0,respiration,0.033124
ecoli,0.0981012658227848,1e-06,0.0,respiration,2.6e-05
ecoli,0.0981012658227848,0.0018933924050632913,0.0,respiration,0.033124
ecoli,0.0981012658227848,0.003785784810126583,0.0,respiration,0.033124
